Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
multidrug__major_facilitator_superfamily_transporter	3.40E-05	6.14E-06	8.33E-05	3.35E-06	2.42E-05	1.44E-04	8.63E-06	1.79E-04	4.42E-04	0	1.32E-04	0.002	3.52E-05	1.47E-05	8.68E-06	1.04E-05	1.14E-04	0	1.30E-04	0	0	3.23E-05	0	8.98E-06	1.15E-05	1.82E-05	0	2.41E-04	3.55E-05	2.10E-05	1.22E-05	3.66E-05	3.36E-05	6.49E-05	7.71E-06	1.43E-05	3.60E-05	1.91E-05	0.001	0	5.20E-05	0	0	6.36E-05	0	6.34E-06	8.16E-06	9.64E-06	3.23E-05	8.07E-06	9.86E-05	1.38E-05	2.38E-04	3.83E-05	0	7.68E-06	0	0	2.29E-05	0	0	0	0	0	0	0	2.27E-05	5.95E-05	7.34E-05	1.59E-04	1.07E-05	0	0	0	0	1.03E-05	0	4.73E-05	0	0	3.47E-05	1.39E-05	0	0	0	multidrug	0.00599338
chloramphenicol__cat_chloramphenicol acetyltransferase	0	0	0	1.41E-05	5.16E-06	0	0	0	0	2.99E-05	0	0	0	0	0	1.83E-05	0	0	7.02E-05	0	0	0	2.18E-04	3.06E-04	0	0	0	0	1.32E-05	0	0	1.70E-05	1.29E-05	2.97E-05	0	0	0	4.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58E-04	0	0	0	2.23E-05	0	2.60E-05	0	0	0	0	1.31E-04	0	1.43E-04	2.99E-05	0	4.72E-04	0	0	3.32E-05	1.13E-04	2.72E-04	2.55E-05	0	7.14E-05	0.001	0.001	0	0	1.03E-04	8.79E-05	1.03E-04	chloramphenicol	0.00487216
multidrug__mexA	2.13E-05	9.32E-06	0	2.62E-05	0	1.90E-05	0	0	3.57E-05	0	9.72E-05	0	1.47E-05	0	9.96E-06	9.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72E-05	7.25E-05	2.36E-05	0	0	4.88E-05	2.69E-05	0	0	0	3.53E-05	0	1.05E-05	0	0	0	2.59E-05	9.93E-06	1.30E-04	0	0	5.54E-05	9.39E-06	1.06E-04	0	2.76E-05	7.38E-05	6.43E-05	0	0	0	3.27E-05	1.21E-04	0	0	1.82E-05	0.001	2.29E-04	0.002	0	0	0	4.24E-04	0	2.84E-05	0	0	7.79E-05	1.28E-04	1.23E-05	0	0	0.001	1.95E-04	2.07E-04	multidrug	0.00646363
beta-lactam__OXA-22	0	5.65E-05	2.76E-05	5.41E-06	0	3.37E-05	3.60E-04	7.55E-05	0	1.59E-05	4.81E-05	4.49E-04	7.80E-05	3.37E-05	0	1.12E-04	1.37E-04	0	0	0	3.76E-05	0	0	0	0	7.37E-05	2.21E-04	5.21E-05	0.001	2.56E-05	7.77E-05	2.02E-04	1.13E-04	0	0	7.00E-05	2.10E-04	8.23E-05	0	0	1.99E-05	1.42E-04	0	0	0	8.86E-05	3.62E-04	1.30E-04	0	0	1.45E-04	1.93E-04	9.84E-05	0	0	1.62E-04	2.45E-04	0	0	2.38E-05	0	2.16E-05	3.77E-05	0	0	2.48E-05	4.40E-05	4.03E-05	0	0	2.57E-05	0	4.13E-05	0	0	7.12E-05	0	0	4.09E-05	0	0	0	0	0	0	beta-lactam	0.00555461
aminoglycoside__aph(3')-I	5.65E-05	8.68E-06	5.28E-05	3.95E-05	8.06E-05	6.53E-05	1.99E-05	2.91E-05	4.60E-05	0	4.15E-05	0	9.01E-05	5.89E-05	0	1.89E-05	0	0	0	9.18E-06	1.96E-05	0	0	0	0	0	0	0	5.16E-05	4.50E-05	2.16E-05	0	1.15E-05	2.93E-05	1.53E-05	1.03E-05	2.30E-05	0	0	0	1.56E-05	0	0	1.55E-05	0	0	2.40E-05	5.54E-05	0	2.13E-05	3.74E-05	0.001	1.03E-04	0	0	7.97E-05	0.001	5.49E-05	8.48E-05	0	1.23E-05	0	0.001	2.95E-05	0	1.10E-04	0	0	0.001	9.73E-05	0	0	0	0	0	1.90E-05	0	0	2.20E-05	0	2.32E-05	0	0	0	0	aminoglycoside	0.00564906
trimethoprim__dfrA14	0	0	0	0	0	0	0	0	0	0	0	3.75E-05	0	0	8.47E-05	0	0	0	1.93E-04	0.001	0	8.48E-05	0.003	0	1.37E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55E-04	0	0	1.16E-04	0	0	6.79E-05	1.08E-04	2.57E-05	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	trimethoprim	0.0050453
tetracycline__tetP	4.15E-05	2.47E-05	2.31E-05	3.30E-05	1.02E-05	2.40E-05	5.04E-06	4.84E-05	5.26E-05	3.94E-05	7.48E-05	2.02E-05	6.05E-05	2.52E-05	4.23E-06	2.92E-05	0	6.85E-05	2.75E-05	5.33E-06	4.77E-05	5.14E-06	2.47E-05	1.44E-05	2.13E-05	2.30E-05	1.99E-05	0	5.54E-05	1.25E-05	2.12E-05	1.33E-05	4.18E-05	6.50E-05	0	2.26E-05	8.10E-06	1.02E-04	2.00E-05	4.95E-06	1.65E-05	1.16E-05	1.14E-04	1.05E-05	6.63E-06	9.81E-06	1.53E-05	1.50E-05	2.14E-05	3.62E-05	1.23E-05	2.72E-05	3.10E-05	4.37E-05	4.78E-05	4.75E-05	0	1.78E-04	8.07E-05	2.04E-05	1.51E-05	1.58E-05	8.79E-05	5.74E-05	3.88E-06	7.14E-06	4.24E-05	2.74E-04	6.67E-05	1.88E-04	2.89E-05	0	5.16E-05	2.27E-05	5.18E-05	1.48E-05	3.26E-05	2.69E-05	1.29E-04	2.37E-04	3.77E-05	6.70E-05	2.33E-04	0.001	1.37E-04	tetracycline	0.00471425
multidrug__oprA	3.77E-06	4.45E-06	3.91E-04	1.88E-04	0	0	0	0	4.03E-05	0	0	0	0	5.58E-05	8.56E-06	0	0	5.38E-06	1.22E-04	0	0	1.08E-05	0	0	9.93E-06	0	0	0	3.71E-05	0	0	0	0	3.06E-04	5.81E-06	0	0	1.53E-05	4.65E-04	0	0	6.68E-06	4.67E-05	1.00E-04	7.55E-06	5.62E-06	0	6.25E-06	7.10E-05	7.34E-06	0	2.37E-05	1.94E-05	9.40E-05	0	0	1.95E-05	9.09E-05	2.22E-05	5.96E-05	0	0	2.06E-04	2.09E-04	6.90E-05	0	0	1.04E-04	0.001	3.71E-05	0	0	2.51E-05	0	1.90E-05	0	0	9.44E-06	1.01E-05	4.49E-05	0	0	1.50E-05	0	4.27E-05	multidrug	0.00404098
beta-lactam__VEB-1	6.06E-05	8.35E-05	0	0	0	8.44E-05	1.85E-04	5.31E-05	4.40E-05	0	6.63E-05	1.40E-04	0	0	0	8.91E-05	0	2.06E-04	0	0	0	0	0	0	1.87E-04	1.74E-04	2.62E-04	0	0	0	0	0	0	0	0	3.15E-05	0	0	0	0	2.06E-05	0	0	0	0	2.58E-04	0.001	0	0	0	0	1.77E-04	2.85E-05	5.64E-05	0	2.37E-05	0	0	0	0	1.89E-04	4.97E-05	2.11E-05	0	0	7.29E-05	0	0	0	0	2.48E-05	0	0	0	0	0	9.97E-05	0	2.79E-05	0	6.53E-05	2.62E-04	0	0	0	beta-lactam	0.0040431
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73E-04	2.60E-04	3.81E-05	0	0	0	1.02E-04	4.40E-04	0	1.65E-04	0	0	0.002	0	0	0	0	0	0	0	0	0	1.95E-04	0	0	0	0	0	aminoglycoside	0.0035911
multidrug__acrA	0	0	9.47E-06	1.66E-05	2.99E-05	2.42E-05	0	2.76E-04	0.001	0	3.96E-05	8.85E-05	0	7.69E-06	0	0	0	0	0	0	0	0	4.81E-05	1.17E-04	0	0	2.37E-05	0	5.37E-05	0	8.11E-05	3.11E-05	7.31E-05	1.47E-04	1.39E-05	1.84E-05	4.30E-05	0	0	0	0	0	0	6.35E-06	1.29E-05	0	1.42E-05	0	6.72E-05	0	0	0	3.00E-04	0	1.48E-05	2.42E-05	1.27E-05	5.79E-05	1.44E-05	0	2.91E-05	0	1.07E-05	1.27E-05	0	0	0	1.04E-05	6.64E-05	6.33E-05	0	0	2.08E-05	5.62E-05	1.20E-04	2.95E-05	0	9.53E-06	6.08E-05	2.10E-04	3.23E-05	6.57E-05	1.67E-04	8.10E-05	2.76E-05	multidrug	0.00373974
beta-lactam__OXA-15	1.36E-05	0	0	0	7.12E-06	0	1.53E-05	0	0	0	4.32E-05	0	0	1.37E-05	4.92E-05	2.93E-05	0	8.84E-05	2.30E-04	3.93E-05	2.12E-05	0	0	1.93E-05	1.52E-04	0	0	0	0	0	1.44E-05	0	0	0	0	8.78E-06	0	1.61E-05	1.71E-04	0	0	2.02E-05	4.48E-04	0	0	2.72E-05	1.66E-05	0	0	0	0	3.06E-05	0	1.26E-05	7.58E-05	0	0	0	0	1.76E-04	0	0	0	2.33E-05	0.001	0	0	0	0	0	2.66E-05	0	0	0	0	8.67E-05	0	0	0	1.83E-05	0	0	0	0	0	beta-lactam	0.0028938
multidrug__mdtH	2.72E-05	3.34E-05	1.46E-05	1.91E-05	3.12E-05	9.75E-05	2.79E-05	8.33E-05	2.62E-04	1.02E-05	8.18E-05	3.35E-05	3.77E-05	7.83E-06	0	2.64E-05	0	1.09E-04	0	0	0	0	4.04E-05	0	0	0	1.75E-05	9.94E-06	2.27E-05	0	1.36E-04	3.77E-05	9.37E-05	7.40E-05	0	0	0	8.58E-05	0	0	0	5.35E-05	3.03E-05	0	0	0	9.82E-05	2.51E-05	0	0	3.20E-05	2.46E-05	2.65E-04	2.62E-05	0	2.01E-05	5.46E-05	2.83E-05	1.03E-05	0	0	2.62E-05	1.32E-05	0	5.34E-05	0	5.65E-05	1.83E-04	0	1.00E-04	0	0	4.13E-04	3.66E-05	0	0	0	0	0	0	3.11E-05	0	0	0	0	multidrug	0.00300157
trimethoprim__dfrA5	0	0	0	0	1.37E-05	0	0	0	0	0	6.31E-05	0	2.57E-05	7.97E-05	1.12E-04	0	0	2.23E-04	2.74E-04	4.55E-05	3.19E-05	3.50E-05	0	0	1.18E-04	0	0	0	0	0	2.69E-05	0	0	0	0	0	1.88E-05	0	1.68E-04	0	0	0	0.001	0	0	0	0	0	0	0	0	8.92E-05	2.66E-05	0	1.29E-04	0	3.28E-05	0	0	5.34E-05	0	0	0	4.25E-05	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-05	0	0	0	0	0	trimethoprim	0.0036344
trimethoprim__dfrA16	0	0	0	0	1.85E-05	0	0	0	0	0	0	0	0	0	3.41E-05	0	5.04E-05	1.11E-04	9.44E-05	4.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.02E-05	0	0	4.43E-05	4.12E-04	0	0	0	0	0	2.85E-05	0	0	8.39E-05	7.02E-05	2.79E-05	1.98E-04	0	4.50E-05	0	0	0	0	0	0	5.71E-05	0.001	0	0	0	0	0	0	0	0	0	0	8.14E-05	7.47E-05	0	0	3.68E-05	0	0	0	0	0	trimethoprim	0.0026038
multidrug__mdtK	1.38E-05	1.10E-05	1.18E-04	2.73E-05	3.29E-05	1.71E-04	0	1.47E-04	2.90E-04	0	1.56E-05	0.001	1.27E-05	0	0	1.25E-05	1.11E-04	0	6.34E-05	0	0	0	0	0	0	4.28E-05	0	0	0	0	4.43E-05	0	5.26E-05	1.96E-05	0	1.72E-05	3.45E-05	1.26E-05	0	0	0	0	0	1.49E-04	0	0	0	0	0	0	1.04E-05	0	1.93E-04	0	0	6.47E-06	6.52E-05	0	0	0	5.81E-06	0	0	0	2.42E-05	0	0	0	0	0	0	0	0	0	2.06E-05	0	0	0	0	0	0	2.02E-05	0	0	2.22E-05	multidrug	0.00276688
quinolone__abaQ	1.24E-05	6.19E-06	1.13E-04	3.18E-06	1.84E-05	0	0	0	0	0	0	0	1.08E-05	0	0	0	0	0	7.04E-05	0	1.19E-05	0	0	0	0	0	1.46E-05	1.08E-05	7.22E-05	0	0	2.99E-05	0	0	0	0	0	0	0	0	0	1.52E-05	0	0	5.79E-06	0	3.74E-05	2.34E-05	0	0	1.00E-05	7.56E-05	0	0	1.50E-05	0	0	0	0	0	0	0	0	2.38E-04	3.84E-05	1.22E-05	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	quinolone	0.00284476
trimethoprim__dfrB2	0	1.78E-05	6.47E-05	0	0	6.26E-05	0	4.56E-05	0	0	0	0	0	1.01E-04	2.62E-04	0	0	0.001	0.001	0	0	9.74E-05	0	7.27E-05	4.43E-05	0	0	0	0	0	4.64E-05	0	0	6.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81E-05	4.26E-05	0	0	0	2.82E-05	0	0	0	0	0	2.22E-04	0	0	0	0	0	0	0	0	9.45E-05	0	0	0	0	0	0	0	0	0	trimethoprim	0.0033135
aminoglycoside__aac(6')-31	0	0	1.45E-05	0	1.49E-05	0	0	0	0	0	0	3.22E-05	3.05E-04	0	0	0	0	0	2.80E-05	0	2.74E-05	0	0	0	0	0	2.50E-05	1.25E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76E-05	0	0	0	0	0	6.84E-05	0	0	0	2.90E-05	0	0	0	0	0	0	3.02E-05	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	2.12E-05	0	0	0	0	0	0	0	0	0	0.001	aminoglycoside	0.0027684
tetracycline__tet41	4.74E-06	4.23E-06	0	0	0	0	1.07E-05	0	0	0	0	1.69E-05	0	0	0	0	0	0	1.04E-05	8.47E-06	3.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24E-05	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	8.19E-05	0	0	0	0	1.97E-04	0	0	1.11E-05	0	0	8.00E-06	0	0.001	3.64E-04	1.07E-04	8.92E-06	0	3.96E-05	0	4.51E-05	0	0	0	9.84E-06	2.21E-04	tetracycline	0.0022373
multidrug__sdeY	0	0	1.40E-05	4.53E-06	0	4.30E-06	0	0	0	0	0	0	0	0	4.11E-06	0	0	2.82E-05	3.60E-06	0	0	0	1.83E-04	2.41E-04	0	0	0	1.33E-05	0	0	2.78E-06	4.50E-06	0	9.13E-06	0	0	0	0	1.67E-05	0	0	0	0	0	0	0	0	0	4.91E-06	0	0	1.19E-05	0	6.89E-05	0	2.93E-06	0	3.18E-05	1.13E-05	5.54E-06	0	5.63E-06	2.01E-05	1.64E-05	9.67E-06	0	0	2.54E-05	0	0	0	0	3.16E-04	2.21E-05	3.88E-05	0	0	0.001	9.02E-05	2.41E-04	0	0	4.08E-04	2.34E-05	1.53E-04	multidrug	0.00303613
trimethoprim__dfrB1	0	3.76E-05	0	0	0	0	7.27E-05	0	1.11E-04	0	0	5.41E-05	0	0	3.51E-04	0	0	0.001	0.001	4.63E-05	0	0	5.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	trimethoprim	0.0028418
multidrug__emrK	1.28E-05	1.79E-05	6.33E-06	0	0	1.07E-05	4.69E-05	3.17E-05	0	3.10E-05	5.10E-05	3.31E-05	0	3.57E-05	0	3.67E-05	0	0	9.92E-06	0	5.85E-05	0	1.33E-04	1.47E-04	0	0	0	0	5.18E-05	0	0	0	1.33E-05	0	0	0	0	0	0	0	6.69E-06	0	0	0	0	0	3.07E-05	2.03E-05	5.81E-05	1.92E-05	1.15E-05	9.04E-05	6.21E-05	1.05E-04	2.55E-05	0	9.67E-05	0	3.39E-05	0	0	0	3.51E-05	0	1.34E-04	0	2.87E-05	0	1.01E-05	0	0	0	0	0	1.95E-05	1.31E-05	2.88E-05	8.23E-05	2.68E-05	0.001	0	0	0	0	4.73E-05	multidrug	0.00271314
multidrug__EmrB-QacA family major facilitator transporter	0	3.72E-06	0	2.85E-06	1.64E-05	8.77E-06	0	1.33E-04	1.47E-04	0	0	0	9.76E-06	0	0	6.64E-06	0	1.08E-04	1.08E-05	0	0	1.87E-05	3.81E-05	3.76E-05	0	0	0	0	0	0	2.42E-05	9.37E-06	1.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.63E-06	0	0	8.37E-05	0	0	0	6.18E-05	0	7.28E-05	2.26E-05	3.22E-05	1.08E-04	0	2.08E-04	0	3.74E-05	0.001	5.36E-05	0	0	0	3.14E-04	1.09E-05	0	0	3.33E-05	0	0	5.48E-06	0	1.65E-05	3.03E-05	0	0	5.99E-05	0	1.63E-05	0	0	multidrug	0.00275852
multidrug__oprJ	8.88E-06	0	0	5.02E-06	0	0	0	0	9.24E-06	0	1.25E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46E-04	0	0	0	0	0	0	2.86E-05	8.80E-06	0	0	1.59E-05	0	1.00E-05	0	0	0	0	4.59E-05	1.44E-05	2.04E-05	0	0	3.74E-05	7.59E-06	0	0	0	0	2.41E-05	0	0	0	0	0	0	0	0	3.03E-05	2.77E-05	0	0	7.12E-05	0.001	4.47E-05	0	0	0	8.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.00178989
multidrug__adeK	6.51E-06	0	1.17E-04	0	3.28E-06	1.21E-04	0	0	0	0	1.44E-05	0.001	4.57E-05	0	1.16E-05	0	1.15E-04	0	4.39E-05	0	0	3.72E-05	0	1.15E-05	0	2.30E-05	0	0	0	0	0	0	0	0	2.14E-05	0	0	0	1.96E-05	0	0	2.98E-05	0	8.94E-05	0	0	0	0	0	0	1.82E-05	0	0	2.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49E-04	0	0	0	multidrug	0.00193299
trimethoprim__dfrA15	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42E-05	0	0	0	1.00E-04	3.35E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	4.34E-05	0	3.14E-05	1.18E-04	0	0	0	2.12E-04	0	0	0	0	0	0	0	5.29E-05	0	3.40E-05	2.76E-05	2.35E-04	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	trimethoprim	0.0019787
beta-lactam__blaB	6.68E-05	5.10E-06	0	0	0	0	0	0	0	0	0	6.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-05	8.36E-05	2.91E-04	3.73E-04	0	0	3.51E-05	0	0	0	5.25E-05	0	0	0	0	4.38E-05	4.44E-04	0	0	0	0	0	0	0	0	3.57E-05	1.62E-05	0	0	0	2.49E-05	0	0	0	0	0	0	0	0	0	1.59E-04	0	1.55E-04	0	0	1.98E-05	0	0	0	0	0	7.56E-05	0	0	0	9.64E-05	0	0	0	0	beta-lactam	0.0020675
multidrug__oprN	0	0	1.25E-05	3.82E-05	0	0	0	0	1.87E-05	0	2.34E-05	0	0	0	0	2.96E-05	0	0	0	5.03E-06	0	0	1.18E-05	8.82E-06	0	0	0	0	2.16E-05	0	1.70E-05	0	0	4.72E-04	0	0	0	2.09E-05	0	0	2.02E-05	0	0	0	2.62E-05	0	0	0	0	0	9.41E-06	0	0	2.23E-05	0	0	2.24E-05	0	0	2.44E-05	0	1.84E-05	1.08E-05	0	1.48E-05	0	4.46E-04	1.72E-04	2.19E-05	0	0	0	4.19E-05	6.10E-05	7.82E-06	0	0	0	0	1.70E-05	0	0	3.06E-04	8.86E-06	0	multidrug	0.00193094
beta-lactam__GOB-1	0	0	1.77E-05	1.02E-05	0	0	0	0	0	0	6.86E-05	4.65E-05	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87E-04	7.66E-05	0	4.04E-05	1.60E-05	0	0	0	0	1.80E-04	1.74E-05	0	0	1.27E-05	0	0	0	0	0	0	3.41E-05	0	0	5.99E-05	5.09E-05	0	0	0	0	1.58E-04	0	0	0	0	0	3.84E-05	0	0	0	0	0.001	0	0	0	0	0	0	0	4.29E-05	0	0	0	0	0	0	0	0	0	beta-lactam	0.0022699
rifamycin__rifampin monooxygenase	7.43E-06	0	5.94E-06	4.03E-05	3.38E-05	0	0	7.40E-06	6.59E-06	5.83E-06	0	0	3.78E-05	1.70E-05	0	1.47E-05	3.83E-05	8.87E-06	1.96E-05	0	8.78E-06	3.57E-05	8.04E-06	6.93E-06	7.82E-06	1.70E-05	1.20E-05	2.99E-05	5.07E-05	3.35E-05	0	0	1.82E-05	6.29E-06	0	0	5.19E-06	5.62E-05	1.18E-05	6.74E-06	1.97E-05	4.28E-05	0	3.47E-05	1.05E-05	0	4.59E-05	5.43E-05	3.22E-05	4.22E-06	1.09E-05	0	2.91E-05	1.32E-05	3.62E-05	0	2.40E-05	8.82E-06	9.13E-06	3.12E-05	7.46E-06	0	0	3.86E-05	6.25E-05	6.79E-06	3.88E-05	2.34E-05	9.24E-06	9.61E-05	0	5.97E-06	7.26E-05	3.34E-05	5.86E-05	0	2.85E-05	0	1.48E-05	2.21E-05	1.77E-05	3.09E-05	1.45E-05	1.38E-05	0	rifamycin	0.00156098
trimethoprim__dfrA22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-04	0	0	0	0	0	0	0	0	0	0	0	0	5.87E-05	0	0	0	0	0	0	0	0	0	0	0	1.81E-05	0	4.67E-05	4.24E-05	7.24E-05	0	5.45E-05	1.52E-05	3.54E-05	3.26E-05	2.15E-05	8.75E-05	0	0	0	0	0	4.86E-05	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	3.47E-04	0	0	trimethoprim	0.0020316
multidrug__mdtL	0	1.51E-05	9.49E-05	2.19E-05	0	3.50E-05	0	1.67E-04	4.05E-04	0	0	8.54E-05	0	0	0	2.77E-05	0	0	4.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.93E-05	4.57E-05	3.53E-05	0	9.67E-06	0	0	0	5.45E-05	0	0	0	0	0	0	1.58E-05	0	1.09E-05	0	0	0	1.52E-04	0	0	0	5.90E-05	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	2.82E-05	0	0	0	0	0	0	0	0	0	0	6.59E-05	0	0	0	0	multidrug	0.00147487
beta-lactam__FEZ-1	2.23E-05	0	0	5.90E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-05	0	0	0	0	0	0	0	8.72E-05	0	0	0	0	0	0	1.13E-05	2.20E-05	0	0	0	0	0	0	0	0	0	4.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86E-05	0	0	0	6.51E-05	1.03E-04	0	0	0	1.42E-05	1.67E-05	0	0	1.23E-05	0	1.70E-04	0	0	1.91E-05	0	0	0	0	3.66E-04	2.78E-05	4.91E-04	beta-lactam	0.0015165
multidrug__emrD	0	5.95E-06	0	2.94E-05	5.16E-06	1.97E-05	0	1.24E-04	0.001	2.72E-05	0	3.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55E-05	3.06E-05	0	0	4.46E-05	3.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-05	0	2.11E-05	0	0	1.02E-05	2.53E-04	1.30E-05	0	0	1.21E-04	0	1.02E-05	0	0	0	0	0	0	0	0	0	2.63E-05	0	3.19E-05	0	0	0	0	0	5.01E-05	0	0	0	0	4.24E-05	0	0	0	multidrug	0.00196261
trimethoprim__dfrA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03E-04	0	0	0	1.10E-04	0	0	0	0	0	8.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	trimethoprim	0.0014973
tetracycline__tet43	4.43E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00205803
multidrug__mdtG	0	0	0	0	0	0	0	1.39E-04	3.51E-04	0	0	1.37E-04	0	0	0	0	0	2.11E-05	0	0	1.71E-05	0	0	0	0	0	0	7.49E-05	0	2.44E-05	8.59E-05	7.08E-05	1.75E-05	2.78E-05	3.09E-05	5.40E-06	0	0	0	0	0	1.72E-05	0	0	0	0	4.09E-05	0	0	0	0	0	2.40E-04	0	2.20E-05	0	6.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.0013887
sulfonamide__sul4	4.70E-05	5.30E-05	6.60E-05	0	0	9.37E-05	0	0	9.97E-05	0	0	0	0	1.28E-05	0	1.18E-05	0	0	1.60E-04	0	4.72E-05	0	0	0	0	5.65E-05	0	3.21E-05	0	2.27E-05	0	0	0	0	0	0	0	5.15E-05	0	0	3.59E-05	5.93E-05	3.66E-05	0	0	9.50E-06	0	3.91E-05	0	0	0	3.42E-05	0	2.96E-05	0	0	5.74E-05	0	0	0	4.28E-05	0	0	0	0	0	0	0	0	0	3.33E-05	1.22E-05	0	0	6.63E-05	0	0	0	0	0	0	0	0	0	0	sulfonamide	0.0012102
